Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 327	Fitness : -131.22	Fitness Melhor : 1000	
Geração : 328	Fitness : -171.24	Fitness Melhor : 1000	
Geração : 329	Fitness : -35.35	Fitness Melhor : 1000	
Geração : 330	Fitness : -87.32	Fitness Melhor : 1000	
Geração : 331	Fitness : -4.21	Fitness Melhor : 1000	
Geração : 332	Fitness : -84.32	Fitness Melhor : 1000	
Geração : 333	Fitness : -181.28	Fitness Melhor : 1000	
Geração : 334	Fitness : -156.84	Fitness Melhor : 1000	
Geração : 335	Fitness : -49.43	Fitness Melhor : 1000	
Geração : 336	Fitness : 43.19	Fitness Melhor : 1000	
Geração : 337	Fitness : -67.41	Fitness Melhor : 1000	
Geração : 338	Fitness : -114.58	Fitness Melhor : 1000	
Geração : 339	Fitness : -35.79	Fitness Melhor : 1000	
Geração : 340	Fitness : -23.86	Fitness Melhor : 1000	
Geração : 341	Fitness : -146.67	Fitness Melhor : 1000	
Geração : 342	Fitness : -107.3	Fitness Melhor : 1000	
Geração : 343	Fitness : -14.68	Fitness Melhor : 1000	
Geração : 344	Fitness : 16.63	Fitness Melhor : 1000	
Geração : 345	Fitness : 15.84	Fitness Melhor : 1000	
Geração : 346	Fitness : -100.95	Fitness Melhor : 1000	
Geração : 347	Fitness : -40.26	Fitness Melhor : 1000	
Geração : 348	Fitness : -104.73	Fitness Melhor : 1000	
Geração : 349	Fitness : -89.65	Fitness Melhor : 1000	
Geração : 350	Fitness : -207.1	Fitness Melhor : 1000	
Geração : 351	Fitness : -150.58	Fitness Melhor : 1000	
Geração : 352	Fitness : -43.86	Fitness Melhor : 1000	
Geração : 353	Fitness : -89.48	Fitness Melhor : 1000	
Geração : 354	Fitness : -101.86	Fitness Melhor : 1000	
Geração : 355	Fitness : -78.51	Fitness Melhor : 1000	
Geração : 356	Fitness : -115.52	Fitness Melhor : 1000	
Geração : 357	Fitness : -146.21	Fitness Melhor : 1000	
Geração : 358	Fitness : -138.23	Fitness Melhor : 1000	
Geração : 359	Fitness : -37.62	Fitness Melhor : 1000	
Geração : 360	Fitness : -189.8	Fitness Melhor : 1000	
Geração : 361	Fitness : -84.05	Fitness Melhor : 1000	
Geração : 362	Fitness : -62.36	Fitness Melhor : 1000	
Geração : 363	Fitness : -8.97	Fitness Melhor : 1000	
Geração : 364	Fitness : 31.43	Fitness Melhor : 1000	
Geração : 365	Fitness : 44.21	Fitness Melhor : 1000	
