Geração : 307	Fitness : -208.41	Fitness Melhor : 1000	
Geração : 308	Fitness : -153.28	Fitness Melhor : 1000	
Geração : 309	Fitness : -318.76	Fitness Melhor : 1000	
Geração : 310	Fitness : -84.34	Fitness Melhor : 1000	
Geração : 311	Fitness : -226.66	Fitness Melhor : 1000	
Geração : 312	Fitness : -473.93	Fitness Melhor : 1000	
Geração : 313	Fitness : -212.76	Fitness Melhor : 1000	
Geração : 314	Fitness : -196.68	Fitness Melhor : 1000	
Geração : 315	Fitness : -500.92	Fitness Melhor : 1000	
Geração : 316	Fitness : -156.52	Fitness Melhor : 1000	
Geração : 317	Fitness : -314.63	Fitness Melhor : 1000	
Geração : 318	Fitness : -155.66	Fitness Melhor : 1000	
Geração : 319	Fitness : -324.55	Fitness Melhor : 1000	
Geração : 320	Fitness : -120.8	Fitness Melhor : 1000	
Geração : 321	Fitness : -338.97	Fitness Melhor : 1000	
Geração : 322	Fitness : -249.91	Fitness Melhor : 1000	
Geração : 323	Fitness : -83.74	Fitness Melhor : 1000	
Geração : 324	Fitness : -342.82	Fitness Melhor : 1000	
Geração : 325	Fitness : -141.01	Fitness Melhor : 1000	
Geração : 326	Fitness : -200.68	Fitness Melhor : 1000	
Geração : 327	Fitness : -136.26	Fitness Melhor : 1000	
Geração : 328	Fitness : -129.96	Fitness Melhor : 1000	
Geração : 329	Fitness : -288.16	Fitness Melhor : 1000	
Geração : 330	Fitness : -458.15	Fitness Melhor : 1000	
Geração : 331	Fitness : -98.12	Fitness Melhor : 1000	
Geração : 332	Fitness : -261.47	Fitness Melhor : 1000	
Geração : 333	Fitness : -242.14	Fitness Melhor : 1000	
Geração : 334	Fitness : -226.39	Fitness Melhor : 1000	
Geração : 335	Fitness : -331.32	Fitness Melhor : 1000	
Geração : 336	Fitness : -161.52	Fitness Melhor : 1000	
Geração : 337	Fitness : -189.63	Fitness Melhor : 1000	
Geração : 338	Fitness : -359.7	Fitness Melhor : 1000	
Geração : 339	Fitness : -231.41	Fitness Melhor : 1000	
Geração : 340	Fitness : -341.61	Fitness Melhor : 1000	
Geração : 341	Fitness : -285.47	Fitness Melhor : 1000	
Geração : 342	Fitness : -325.03	Fitness Melhor : 1000	
Geração : 343	Fitness : -69.22	Fitness Melhor : 1000	
Geração : 344	Fitness : -230.85	Fitness Melhor : 1000	
Geração : 345	Fitness : -267.65	Fitness Melhor : 1000	
Geração : 346	Fitness : -315.44	Fitness Melhor : 1000	
Geração : 347	Fitness : -139.05	Fitness Melhor : 1000	
Geração : 348	Fitness : -331.55	Fitness Melhor : 1000	
Geração : 349	Fitness : -258.0	Fitness Melhor : 1000	
Geração : 350	Fitness : -294.26	Fitness Melhor : 1000	
Geração : 351	Fitness : -181.01	Fitness Melhor : 1000	
Geração : 352	Fitness : -368.52	Fitness Melhor : 1000	
Geração : 353	Fitness : -205.64	Fitness Melhor : 1000	
Geração : 354	Fitness : -266.81	Fitness Melhor : 1000	
Geração : 355	Fitness : -298.89	Fitness Melhor : 1000	
Geração : 356	Fitness : -230.37	Fitness Melhor : 1000	
Geração : 357	Fitness : -107.96	Fitness Melhor : 1000	
Geração : 358	Fitness : -365.22	Fitness Melhor : 1000	
Geração : 359	Fitness : -346.04	Fitness Melhor : 1000	
Geração : 360	Fitness : -361.95	Fitness Melhor : 1000	
Geração : 361	Fitness : -188.82	Fitness Melhor : 1000	
Geração : 362	Fitness : -217.35	Fitness Melhor : 1000	
