Geração : 388	Fitness : -135.15	Fitness Melhor : 1000	
Geração : 389	Fitness : -60.43	Fitness Melhor : 1000	
Geração : 390	Fitness : -61.24	Fitness Melhor : 1000	
Geração : 391	Fitness : -176.57	Fitness Melhor : 1000	
Geração : 392	Fitness : -198.15	Fitness Melhor : 1000	
Geração : 393	Fitness : -185.36	Fitness Melhor : 1000	
Geração : 394	Fitness : -278.3	Fitness Melhor : 1000	
Geração : 395	Fitness : -238.51	Fitness Melhor : 1000	
Geração : 396	Fitness : 20.65	Fitness Melhor : 1000	
Geração : 397	Fitness : -162.63	Fitness Melhor : 1000	
Geração : 398	Fitness : -192.62	Fitness Melhor : 1000	
Geração : 399	Fitness : -191.17	Fitness Melhor : 1000	
Geração : 400	Fitness : -245.27	Fitness Melhor : 1000	
Geração : 401	Fitness : -114.58	Fitness Melhor : 1000	
Geração : 402	Fitness : 28.38	Fitness Melhor : 1000	
Geração : 403	Fitness : -188.1	Fitness Melhor : 1000	
Geração : 404	Fitness : -298.34	Fitness Melhor : 1000	
Geração : 405	Fitness : -50.23	Fitness Melhor : 1000	
Geração : 406	Fitness : -60.92	Fitness Melhor : 1000	
Geração : 407	Fitness : -246.36	Fitness Melhor : 1000	
Geração : 408	Fitness : -154.49	Fitness Melhor : 1000	
Geração : 409	Fitness : -111.36	Fitness Melhor : 1000	
Geração : 410	Fitness : -211.78	Fitness Melhor : 1000	
Geração : 411	Fitness : -99.7	Fitness Melhor : 1000	
Geração : 412	Fitness : -54.68	Fitness Melhor : 1000	
Geração : 413	Fitness : -89.22	Fitness Melhor : 1000	
Geração : 414	Fitness : -161.25	Fitness Melhor : 1000	
Geração : 415	Fitness : -44.36	Fitness Melhor : 1000	
Geração : 416	Fitness : -168.5	Fitness Melhor : 1000	
Geração : 417	Fitness : -158.17	Fitness Melhor : 1000	
Geração : 418	Fitness : -276.13	Fitness Melhor : 1000	
Geração : 419	Fitness : -98.95	Fitness Melhor : 1000	
Geração : 420	Fitness : -227.08	Fitness Melhor : 1000	
Geração : 421	Fitness : -101.94	Fitness Melhor : 1000	
Geração : 422	Fitness : -6.09	Fitness Melhor : 1000	
Geração : 423	Fitness : -58.01	Fitness Melhor : 1000	
Geração : 424	Fitness : -158.03	Fitness Melhor : 1000	
Geração : 425	Fitness : -94.39	Fitness Melhor : 1000	
Geração : 426	Fitness : -126.17	Fitness Melhor : 1000	
Geração : 427	Fitness : -94.59	Fitness Melhor : 1000	
Geração : 428	Fitness : -87.15	Fitness Melhor : 1000	
Geração : 429	Fitness : -99.97	Fitness Melhor : 1000	
Geração : 430	Fitness : -176.46	Fitness Melhor : 1000	
Geração : 431	Fitness : -127.44	Fitness Melhor : 1000	
Geração : 432	Fitness : -46.51	Fitness Melhor : 1000	
